case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,3,3,22,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,12,12,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,21,21,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,28,28,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,38,38,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,12,12,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,21,21,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,28,28,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,38,38,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,14,14,11,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,16,16,18,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,18,18,16,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,24,24,15,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,43,43,17,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,14,14,11,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,14,14,27,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,33,33,21,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,14,14,27,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,19,19,20,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Atributte,45,45,25,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Boolean Operation,34,34,19,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,3,3,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Assigment with sum (total = total + 1),14,14,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,16,16,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,17,17,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,18,18,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,42,42,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,43,43,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple Assignment,33,33,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simplified incremental Assignment with increase amount,46,46,16,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'raise' exception,26,26,8,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'raise' exception,36,36,8,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'raise' exception,50,50,8,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'assert' exception,19,19,8,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'assert' exception,24,24,8,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'assert' exception,48,48,8,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,'assert' exception,34,34,12,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import,1,1,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import,2,2,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import,6,6,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import,7,7,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import're' module,8,8,0,C1,5,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Import,9,9,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,1,1,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,2,2,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,6,6,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,7,7,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,8,8,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Alias,9,9,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple If statements,45,46,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple For Loop,31,34,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Simple For Loop,44,46,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Exception --> try/except,23,26,4,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Exception --> try/except,30,36,4,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Exception --> try/except,41,50,4,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,With,15,19,4,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Except Handler,25,26,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Except Handler,35,36,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Except Handler,49,50,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Function,13,19,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Function,22,26,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Function,29,36,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,test.py,test.py,Function,40,50,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Print,8,8,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Simple Atributte,5,5,17,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Simple Assignment,5,5,1,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Import,1,1,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Alias,1,1,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Function,3,6,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,solution.hide.py,solution.hide.py,Return,6,6,1,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Print,8,8,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Simple Atributte,5,5,17,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Simple Assignment,5,5,1,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Import,1,1,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Alias,1,1,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Function,3,6,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,09-Random-Numbers,app.py,app.py,Return,6,6,1,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,3,3,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,3,3,22,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,13,13,13,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,11,11,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,18,18,13,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,16,16,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,21,21,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,9,9,7,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,11,11,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,16,16,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,23,23,15,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,21,21,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,9,9,7,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,9,9,23,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Atributte,9,9,23,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Assignment,3,3,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Assigment with sum (total = total + 1),9,9,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Assignment,13,13,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Assignment,18,18,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Simple Assignment,23,23,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,'assert' exception,14,14,4,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,'assert' exception,19,19,4,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,'assert' exception,24,24,4,B2,4,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Import,1,1,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Import,2,2,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Import,5,5,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Import,6,6,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Import,7,7,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Alias,1,1,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Alias,2,2,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Alias,5,5,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Alias,6,6,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Alias,7,7,7,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Function,12,14,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Function,17,19,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,test.py,test.py,Function with Simple argument,22,24,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,solution.hide.py,solution.hide.py,Print,5,5,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,solution.hide.py,solution.hide.py,Simple Assignment,3,3,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,03-Print-Variables-In-The-Console,solution.hide.py,solution.hide.py,Simple Assignment,4,4,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Files --> 'open' call function,28,28,8,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,3,3,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,3,3,22,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,13,13,11,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,11,11,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,17,17,11,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,15,15,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,19,19,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,26,26,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,11,11,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,15,15,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,21,21,29,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,19,19,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,29,29,14,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,32,32,21,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,34,34,11,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,26,26,1,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,21,21,7,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
python-beginner-programming-exercises,17-Russian-Roulette,test.py,test.py,Simple Atributte,30,30,15,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json
